Rank,Destination,Country,Visitors (millions),Famous For,Local Events and Festivals
54,Zhuhai,China,2.7,Fisher Girl Statue / Hengqin Island / Beaches,Zhuhai Airshow / Hengqin International Tennis Center
55,St Petersburg,Russia,2.7,Hermitage Museum / Peter and Paul Fortress / Russian Culture,White Nights Festival / St. Petersburg International Film Festival
56,Burgas,Bulgaria,2.7,Sea Gardens / Sunny Beach / Archaeological Sites,Spirit of Burgas / Burgas International Film Festival
57,Sydney,Australia,2.7,Sydney Opera House / Harbour Bridge / Beaches,Sydney Festival / Vivid Sydney
58,Djerba,Tunisia,2.6,Beaches / Ghriba Synagogue / Traditional Villages,Djerba Jewish Culture Festival / Djerba Ulysses Festival
59,Munich,Germany,2.6,Oktoberfest / Nymphenburg Palace / Beer Gardens,Oktoberfest / Tollwood Winter Festival
60,Johannesburg,South Africa,2.6,Soweto / Apartheid Museum / Gold Reef City,National Arts Festival / Johannesburg International Mozart Festival
61,Cancun,Mexico,2.6,Beaches / Mayan Ruins / Nightlife,Cancun Carnival / Cancun International Film Festival
62,Edirne,Turkey,2.6,Selimiye Mosque / Edirne Palace / Ottoman Heritage,Kirkpinar Oil Wrestling Festival / Edirne Kakava Festival
63,Suzhou,China,2.5,Gardens / Canals / Suzhou Museum,Suzhou International Silk Festival / Pingjiang Road Music Festival
64,Bucharest,Romania,2.4,Palace of the Parliament / Village Museum / Nightlife,George Enescu Festival / Bucharest International Film Festival
65,Punta Cana,Dominican Republic,2.4,Beaches / Resorts / Water Sports,Punta Cana Food & Wine Festival / Dominican Republic Jazz Festival
66,Agra,India,2.4,Taj Mahal / Agra Fort / Mughal History,Taj Mahotsav / Sufi Festival
67,Jaipur,India,2.3,Hawa Mahal / Amber Fort / Rajasthani Culture,Jaipur Literature Festival / Jaipur International Film Festival
68,Brussels,Belgium,2.3,Grand Place / Atomium / Chocolate,Brussels Jazz Marathon / Flower Carpet Festival
69,Nice,France,2.2,Promenade des Anglais / Old Town / French Riviera,Nice Carnival / Jazz à Juan
70,Chiang Mai,Thailand,2.2,Temples / Night Markets / Thai Cuisine,Yi Peng Lantern Festival / Chiang Mai Flower Festival
71,Sharm el-Sheikh,Egypt,2.2,Red Sea / Snorkeling / Diving,Sharm el-Sheikh International Theatre Festival / Sinai Liberation Day
72,Lisbon,Portugal,2.2,Belem Tower / Fado Music / Pastries,Lisbon International Documentary Film Festival / Lisbon Fish and Flavours
73,East Province,Saudi Arabia,2.2,Dhahran / Al Khobar / Corniche,Al Janadriyah Heritage and Cultural Festival / Saudi Film Festival
74,Marrakech,Morocco,2.1,Medina / Palaces / Markets / Moroccan Cuisine,Marrakech International Film Festival / Marrakech Popular Arts Festival
75,Jakarta,Indonesia,2.1,Monas / Taman Mini Indonesia / Shopping,Jakarta International Film Festival / Jakarta Fashion Week
76,Manama,Bahrain,2,Bahrain Fort / Al Fateh Grand Mosque / Souks,Bahrain International Music Festival / Bahrain Food Festival
77,Hanoi,Vietnam,2,Hoan Kiem Lake / Old Quarter / Street Food,Tet Nguyen Dan (Lunar New Year) / Hanoi International Film Festival
78,Honolulu,USA,2,Waikiki Beach / Diamond Head / Surfing,Honolulu Festival / Aloha Festivals
79,Manila,Philippines,2,Intramuros / Rizal Park / Shopping,Sinulog Festival / Manila International Film Festival
80,Guilin,China,2,Li River / Karst Mountains / Scenic Landscapes,Guilin International Tourism Festival / Guilin Liangjiang International Hot Air Balloon Festival
81,Auckland,New Zealand,2,Sky Tower / Waiheke Island / Maori Culture,Auckland Arts Festival / New Zealand International Film Festival
82,Siem Reap,Cambodia,1.9,Angkor Wat / Temples / Khmer Culture,Angkor Sangkran (Khmer New Year) / Water Festival
83,Sousse,Tunisia,1.9,Medina / Beaches / History,Sousse International Festival / Sidi Bou Said Festival
84,Amman,Jordan,1.9,Roman Theater / Amman Citadel / Petra Day Trip,Amman International Film Festival / Jerash Festival
85,Vancouver,Canada,1.9,Stanley Park / Granville Island / Outdoor Activities,Vancouver International Film Festival / Celebration of Light
86,Abu Dhabi,UAE,1.9,Sheikh Zayed Grand Mosque / Louvre Abu Dhabi / Luxury,Qasr Al Hosn Festival / Abu Dhabi Art
87,Kiev,Ukraine,1.9,Saint Sophia's Cathedral / Lavra Monastery / Chernobyl Tours,Kiev International Film Festival / White Nights International Film Festival
88,Doha,Qatar,1.9,The Pearl-Qatar / Souq Waqif / Desert Adventures,Qatar National Day / Doha Tribeca Film Festival
89,Florence,Italy,1.8,Duomo di Firenze / Uffizi Gallery / Renaissance Art,Florence International Film Festival / F-Light - Florence Light Festival
90,Rio de Janeiro,Brazil,1.8,Christ the Redeemer / Copacabana Beach / Samba,Carnival / Rock in Rio Festival
91,Melbourne,Australia,1.8,Federation Square / Great Ocean Road / Cultural Events,Melbourne International Film Festival / Melbourne Food and Wine Festival
92,Washington D.C.,USA,1.7,National Mall / Smithsonian Museums / History,National Cherry Blossom Festival / DC Shorts Film Festival
93,Riyadh,Saudi Arabia,1.7,Kingdom Centre Tower / Masmak Fortress / Modernity,Riyadh International Book Fair / Saudi Film Days
94,Christchurch,New Zealand,1.7,Christchurch Botanic Gardens / Adventure Activities / Wildlife,New Zealand International Film Festival / World Buskers Festival
95,Frankfurt,Germany,1.7,Romer / St Bartholomew's Cathedral / Finance Hub,Frankfurt Book Fair / Museum Embankment Festival
96,Baku,Azerbaijan,1.7,Flame Towers / Maiden Tower / Caspian Sea,Baku International Jazz Festival / Baku International Film Festival
97,Sao Paulo,Brazil,1.7,Paulista Avenue / Ibirapuera Park / Cultural Diversity,Sao Paulo International Film Festival / Sao Paulo Fashion Week
98,Harare,Zimbabwe,1.7,National Gallery of Zimbabwe / Harare Gardens / African Culture,HIFA (Harare International Festival of the Arts) / Harare Jazz Festival
99,Kolkata,India,1.6,Victoria Memorial / Howrah Bridge / Cultural Heritage,Durga Puja / Kolkata International Film Festival
100,Nanjing,China,1.6,Sun Yat-sen Mausoleum / Nanjing City Wall / History,Nanjing International Plum Blossom Festival / Nanjing Jazz Festival
